WT,pptase,ST,SpT
100.733002,237.051926,433.035034,61.174355
170.513199,10.393034,20.068167,74.114609
284.493164,-135.097656,1565.004761,302.120514
343.143677,16.712027,410.889343,85.149109
154.322098,113.05983,380.5289,15.137217
68.523262,29.462482,120.810776,38.717815
192.555145,-38.754475,412.944031,24.058939
27.81752,173.215775,352.863434,67.34507
221.654449,-21.389011,265.265961,24.085163
109.896194,13.514617,320.310455,310.227356
119.561829,-80.000259,1643.924683,49.380352
146.346603,-23.611696,243.167206,78.735977
183.07486,-27.272491,1130.682495,41.314953
14.106476,143.74292,816.658936,91.114525
86.585915,-300.458557,51.426998,93.997452
207.845505,43.785179,1262.87207,507.898071
155.067963,-71.852409,119.075394,69.357498
177.028076,45.021362,605.745483,383.271515
193.640625,-208.359802,504.409302,52.428249
21.623627,-57.845863,10024.38965,104.411499
500.70282,-20.134396,842.766846,517.256714
208.811539,-112.795784,205.760925,463.708069
19.297844,36.539673,974.505371,71.531433
86.169357,189.466293,158.994934,124.613884
183.777588,-45.369514,1517.803223,1151.11731
95.305862,-80.993118,308.188812,103.238106
251.660278,71.11264,194.205688,4.195992
276.505096,19.361891,1307.97644,195.821228
159.138992,75.849548,487.419891,8.898574
119.459808,-13.46714,103.288574,115.674225
127.273026,33.455811,885.704712,49.647591
89.85321,-56.950615,159.416107,107.812073
151.324142,-34.322525,403.970551,85.727547
187.392242,-159.096207,820.000122,129.344086
57.591148,-70.807816,537.652588,281.865723
123.530418,18.224283,513.073059,81.028625
21.100048,-120.604057,208.266739,90.565605
182.186646,-38.233814,829.609253,200.638855
206.226883,262.596802,360.816803,73.75444
277.88916,-119.367661,493.017181,88.568169
73.720055,-25.06793,238.709488,43.54982
199.44516,136.380127,6899.341309,739.440552
168.375763,-24.798313,489.251221,210.295074
125.500145,-65.527321,2226.031006,64.352875
58.268944,-200.323471,257.91452,113.470436
106.012177,56.901299,1887.42334,94.807709
162.385452,-41.500027,105.435272,14.814644
115.492157,-34.380508,137.077148,129.373901
159.853973,-69.84642,726.917786,121.343086
681.85791,10.712337,234.088776,146.542709
122.703461,15.363909,348.45932,129.657394
86.988464,22.095318,424.480347,81.328293
186.350525,-24.653738,27.360296,75.716148
112.950584,-17.153091,1503.238525,90.213776
81.209946,38.034325,158.409271,63.890533
125.079727,-28.732035,2247.646484,34.650318
125.728882,46.223186,245.729996,370.435547
73.764389,67.047844,388.992889,66.514572
74.194717,42.421875,999.688538,50.026169
214.319839,-68.239273,700.52948,105.479347
486.518921,12.346828,870.283508,118.187515
101.121841,-59.80056,2702.497559,70.70874
142.076904,2.061844,1860.5448,97.687096
121.858177,12.494871,446.994324,140.281296
152.528534,-1.051809,290.164429,46.481091
196.927856,12.774349,729.736328,442.156738
167.419922,19.968739,470.478638,267.287445
102.482986,-4.586595,371.727081,7.758897
113.363968,32.805954,518.594299,58.560249
139.854767,-69.26973,1066.33252,120.069466
143.844864,-52.345543,869.770325,83.237328
177.031952,77.065933,437.17511,28.159924
25.278484,127.465874,363.565216,52.365299
87.87088,-133.245972,446.184174,71.783218
438.145111,32.604729,249.38768,226.460388
28.752453,106.158272,60.805225,29.550777
101.778893,-100.333527,857.63208,265.369781
227.052582,-130.264694,315.551544,27.743446
235.111969,-94.806381,8489.415039,442.806152
229.504944,161.514008,300.679535,60.103245
112.251404,-153.05336,9614.449219,989.048828
75.023773,40.236843,330.61969,113.764381
95.656181,-114.13765,1837.774536,125.363373
104.765427,33.768486,541.164917,37.347057
169.114899,0.138159,2103.301025,347.486267
161.316772,-61.768482,501.615112,97.850075
217.269806,41.126965,456.834076,20.438475
266.210449,-45.641548,1264.323486,115.931297
115.709229,-94.772919,5559.774414,140.439758
337.072388,-47.151428,470.234833,150.265121
63.94371,57.770981,1793.10437,20.592754
139.940582,-4.207119,82.067215,78.59491
23.487495,72.022369,92.416832,47.865616
275.186768,325.116455,1947.022461,956.409302
23.50132,74.394012,243.804932,22.737562
124.730347,-66.467972,1021.75769,91.999985
404.279541,-67.655067,1528.32605,214.555756
606.958374,-151.228165,2484.945801,244.1819
54.506729,137.126755,597.140137,91.065018
60.563213,-74.665672,53.27198,107.185371
167.853409,-106.090538,2866.143311,76.225815
42.149189,3.06806,546.620667,117.768211
49.689423,29.848423,538.379578,46.758713
100.630623,72.840042,389.342529,44.3335
89.171906,167.113129,1350.611572,62.553398
528.377563,-113.576653,1758.760742,1430.822021
38.652206,-19.739103,163.979523,94.590469
72.818756,3.810115,643.294739,278.662811
146.538208,63.858658,834.754639,495.545959
9.546684,85.203346,576.291809,92.734039
139.250015,21.922047,349.634796,41.758198
85.135735,53.895168,186.04303,109.317841
185.959732,126.700935,441.414551,120.320152
398.698975,64.470665,572.593445,40.421551
664.489624,-63.884628,2533.996338,16.745901
176.087463,114.755867,330.740509,66.63475
146.784103,-40.950588,423.930847,142.945389
143.557098,-75.845245,669.708862,331.013977
108.058578,83.870094,483.446381,129.769943
128.303986,277.188629,524.234924,87.367981
78.262329,4.615326,2986.557129,162.220886
108.291473,-2.735565,291.741394,62.673405
130.154022,-33.974701,467.859833,33.566196
475.781403,-198.643539,673.853699,1058.769897
202.890167,29.83358,315.331879,57.662601
198.942429,-148.774673,173.077744,91.268684
226.450333,-147.504944,194.119568,86.656616
84.70195,-63.119438,2040.173828,43.980083
348.347473,93.675415,468.285767,44.153675
138.188889,114.320282,189.183411,148.352539
150.639496,-75.152756,1814.445557,168.980103
90.688278,91.428215,683.857178,125.543533
53.55249,12.23542,262.946167,162.992218
96.717651,-55.314354,2777.866211,178.09436
423.587341,78.34201,245.131439,106.632065
245.978668,-99.507263,322.443848,369.360046
58.623661,-28.751064,322.736938,43.04464
108.922791,111.333977,3401.106689,38.021217
82.103035,-98.724739,195.788162,163.609848
147.677078,48.557766,487.14859,83.313225
15.059238,-14.320859,678.567932,77.307365
19.636169,-21.974991,6066.763184,187.560059
74.383789,154.030533,912.085571,9.502361
115.19751,-29.280727,83.519249,163.91394
103.780914,98.603325,529.656738,122.96698
94.754868,13.555349,362.330536,76.260315
10.270592,92.352509,1168.735718,103.514572
