WT1,SpT2,pptase,ST2,ST1,SpT1
490.537781,1105.877563,432.010864,2951.7854,1108.490234,191.881271
738.468384,318.632172,406.942596,794.503784,525.545288,408.699402
1616.292358,3007.439453,227.541061,3442.009521,1921.387085,1259.618896
270.920197,146.520798,210.034103,481.661987,171.374298,142.279877
367.833588,115.292191,263.20163,889.46521,582.718323,622.639099
6076.772461,3100.259521,76.820053,7888.653809,1039.674072,955.12384
587.490906,236.948822,253.245789,457.057922,198.448517,228.045547
314.084656,197.653107,188.666885,630.350586,60.842834,58.962666
428.462341,79.184708,95.977859,537.895508,558.289795,584.905823
2082.385498,736.767578,118.016823,2627.209229,923.754944,1175.595215
3614.860596,1216.560669,91.338058,5178.67334,693.934326,769.887207
2672.368408,229.34433,193.345367,1239.475708,719.645081,658.175476
4665.699707,1249.539673,90.158424,4957.9375,587.840515,651.938477
546.500366,904.073303,1342.451782,1670.57251,1124.264526,167.969238
2260.205811,124.736099,95.774757,1957.675659,368.284821,324.344299
2101.096191,1067.066162,187.316666,2229.161621,1090.937622,976.570862
1658.226074,1304.208496,226.372314,2163.479492,897.06073,1191.868774
16965.41406,3328.868652,232.226669,7631.238281,4372.360352,3454.351318
15961.19727,177.357208,643.758362,5300.784668,1314.040771,581.598999
2782.395752,2266.015869,910.145386,3673.658936,1749.593872,1372.033447
1791.05835,998.341309,24.166233,1663.961182,790.549072,608.25708
71.928192,202.328659,187.361984,146.367386,126.3498,69.28717
1434.825195,615.935059,549.693237,1046.999634,1280.927246,912.401672
3088.827148,7390.005371,281.775665,5402.442383,4573.693848,5657.63623
1135.677734,585.335144,139.984482,1826.526978,697.477539,488.97876
269.144409,208.279266,322.572388,408.192627,768.045776,446.909058
1825.512085,602.792236,535.78833,2373.324707,2348.045166,1501.989746
1542.472168,1879.149902,513.836731,2683.816895,1801.097778,1603.268555
1208.542236,223.531464,145.54982,856.223877,412.687439,145.713455
858.921509,478.761414,206.405655,1116.659546,100.997719,524.925903
846.575867,728.595825,100.855453,1498.309082,886.682373,333.055267
759.144348,612.205566,504.362762,937.55835,1408.960693,1507.553955
9121.742188,103.534973,31.093317,4011.174072,1030.394165,247.588272
2061.012695,210.406967,241.641693,1682.237061,492.736572,384.237488
118.619972,58.446236,28.186529,390.399109,322.691681,335.638794
697.358887,566.884338,183.328857,1389.292114,425.367157,733.621094
2639.344971,2223.940674,788.68988,4804.754395,2159.736816,935.21405
1651.200073,1017.734375,410.454498,3128.95459,1125.166992,348.973114
649.564697,610.552917,160.884247,1794.90625,1058.914551,512.319519
979.267029,719.781433,38.746387,1830.636841,872.379517,826.963867
845.644653,415.605103,15.713845,1046.062134,534.627075,204.046494
2345.759277,344.031647,621.069031,2918.6604,310.614685,82.308334
425.097382,111.342995,138.275055,521.606323,850.615906,1039.288574
2072.023926,1185.172119,109.26503,3839.719482,1186.213623,522.099182
896.761597,1803.72522,941.149902,2669.648926,1634.252319,1514.55481
136.791733,67.970474,121.077393,290.985321,8.877882,59.580082
2467.184082,1126.926636,380.97052,2837.843994,1101.947021,378.22052
979.157288,4034.009277,111.563622,3349.959229,1748.02771,1281.466553
6785.216309,7957.195312,65.641411,11877.28418,1335.15686,843.93512
958.238525,38.875118,7.767636,1013.451233,151.581955,258.091248
1832.387207,218.42424,206.963394,1611.875122,298.761078,509.613403
2355.356689,370.613434,18.884613,1776.46814,638.31073,1192.237061
1505.600952,781.172058,115.1101,2017.099121,823.759521,842.681824
1357.138794,1035.780884,305.936737,1277.530029,1276.630249,1617.899048
1193.283203,1760.056885,841.26123,3155.172607,977.900269,77.902336
4089.119873,199.199524,368.155975,3757.825684,647.153748,525.417969
177.190826,1010.661926,313.695129,1504.04126,753.848877,518.603821
697.340759,57.047321,17.443062,449.275787,98.982933,110.485298
3489.062988,1187.898071,1161.196167,3611.875977,1217.971436,750.281128
5730.495605,2138.622559,189.655045,5584.180664,1405.008179,1705.404785
5613.177734,3843.387695,666.748169,6050.146484,2268.283936,1536.265015
1172.559814,161.858643,296.391754,1324.398682,634.926331,176.099838
1284.083618,30.317209,10.656891,890.88501,6.087196,154.826965
5063.743652,1616.35376,119.076706,5607.728027,2315.639648,2317.093506
471.590607,575.438293,985.798096,927.781494,860.509277,419.024475
1042.634277,2958.206055,639.221619,6128.843262,2067.263672,1148.795776
16530.74023,6717.694824,425.177856,8812.666992,2932.361572,4395.023438
613.528015,1371.016724,90.062622,2873.205322,806.078918,515.305237
548.177856,266.678131,55.675991,577.41156,202.617569,202.005432
414.816681,205.136978,359.5401,1061.985718,1584.861206,634.002197
524.299072,542.452942,949.03479,848.616943,1416.185303,833.408691
131.883865,884.445984,92.664955,840.948364,787.832397,739.359436
1583.030029,49.195126,222.149033,2026.758423,356.359985,30.387684
