ST2,GFP
13.159875,46.604797
35.455078,47.633911
102.547073,22.418213
90.255081,43.199951
58.077187,63.020874
65.685623,6.8125
10.101639,107.577515
55.653946,12.458862
28.598822,17.553955
20.397501,66.330322
53.369095,179.601074
73.958015,21.263672
208.924057,13.939697
54.153214,18.409668
55.07832,48.142212
109.502541,19.560059
36.980549,43.439453
22.31144,37.330566
157.848099,28.373657
32.461102,36.280579
26.128757,25.493225
45.25528,97.784302
20.640028,112.348145
57.750462,123.032227
51.881279,51.781311
32.838707,41.482178
42.742531,98.32373
54.468838,49.594238
130.326721,53.060303
93.699409,39.403198
175.15625,37.945007
136.935059,21.173828
38.046722,43.785217
89.553543,25.350098
25.427351,172.919922
67.50547,60.028198
69.386162,1.821777
20.144712,102.64325
30.473175,124.669922
107.68869,41.515625
91.435135,75.020996
77.361908,2.677124
35.364914,184.810547
23.123493,84.165527
8.889175,16.325562
95.220894,126.044678
51.528458,102.073242
44.011806,230.32666
125.056992,71.858887
42.950214,114.594727
100.167763,51.177185
37.903603,138.920654
110.837761,92.297119
36.93137,188.608887
1.410805,120.263916
9.390233,133.875732
66.079903,58.149902
14.765643,25.025696
16.750196,7.266479
5.264738,48.807861
16.365725,135.712891
55.684708,117.292969
67.966362,8.661865
29.060247,139.999023
33.055325,54.260254
2.340627,12.468506
27.576641,98.84375
16.194794,2.233643
106.323463,56.182007
26.000134,222.180176
39.720627,23.054077
40.368359,130.290527
130.499054,77.031494
28.147713,44.200439
97.629555,84.443848
34.677975,56.688721
101.1922,61.057251
46.038857,26.702637
81.749969,17.709229
57.334957,123.939453
47.507729,46.471802
41.15316,96.588135
18.474932,36.197754
14.129266,155.415527
57.733753,69.710449
44.273502,53.567017
28.18384,96.780273
158.975983,261.181396
74.293236,64.142944
2.872414,17.502075
17.883532,70.346924
13.626966,68.598877
45.172771,6.539673
39.141869,34.075928
39.008987,21.19165
60.373081,38.067566
51.238499,11.405273
40.601864,110.449097
88.016518,48.608154
43.884525,18.681641
59.651119,75.6521
84.947937,37.972656
97.443214,93.80603
103.364326,151.200684
6.765135,192.692383
52.557034,24.852173
125.348816,50.82666
6.842779,37.526489
42.834335,69.165649
5.541861,6.105713
4.057884,54.225952
96.334816,125.197021
4.743441,37.864624
16.292038,37.739746
52.471413,11.221924
44.652893,40.173584
53.657093,120.966309
74.694427,130.051147
43.723148,14.812012
66.954094,107.102051
143.35762,39.855713
38.192505,67.180176
33.871193,29.134277
97.690521,108.847412
6.762002,73.982605
30.164793,9.562622
31.068384,55.578125
10.370012,4.564941
20.103354,12.999023
52.17659,40.738281
31.127342,49.800659
64.202118,75.417847
35.314579,21.781006
60.763229,31.225342
10.41399,41.912231
47.512993,76.838013
48.527603,42.803223
51.891895,47.916382
31.133392,29.616089
86.455841,75.894531
81.407715,105.1875
68.563255,16.094604
98.903389,181.991211
28.881517,4.465576
8.867413,23.871826
89.548653,70.00647
12.536678,131.844238
75.146675,74.162109
47.148293,46.84375
72.00946,1.733887
71.637802,49.140625
7.556169,10.699707
30.087797,50.770996
36.3727,135.413086
16.221325,86.044678
73.93425,117.226562
46.547653,100.494385
9.03594,6.498779
63.310383,6.864502
4.484767,37.806885
36.952393,158.254761
54.909199,84.871582
56.835289,28.14978
33.503227,39.641846
27.440159,29.190186
53.396046,16.943481
74.298477,124.585205
68.526711,33.330566
33.354424,30.026489
20.86982,84.932007
6.036783,20.182617
116.062775,67.101807
1.642732,35.534668
24.520224,130.070557
18.847336,60.93689
102.703499,47.489319
70.894379,36.850403
47.076275,64.495361
156.315216,152.488281
82.05365,23.651489
16.094429,182.768921
17.929794,24.050415
26.476545,172.417969
94.864883,29.16272
113.779282,87.658569
119.121651,117.734619
149.84137,116.84021
99.665787,146.53125
58.700703,2.010803
92.884956,32.786621
11.333907,50.951172
156.931,84.010742
