WT1,SpT2,pptase,ST2,ST1,SpT1
517.660583,274.234802,409.988342,698.966309,508.546692,1320.339966
1706.323975,1898.392212,9333.495117,3960.0354,5594.533203,1111.710205
553.380493,376.063538,287.305908,427.132751,580.794067,2430.387695
4177.058105,2574.186768,64.795677,5821.769043,774.216187,4680.36377
464.044189,59.684444,694.632935,247.008072,700.522827,1219.523315
562.766541,49.494991,1850.491089,867.251587,1072.771118,834.278809
15132.70606,175.341858,1819.012329,8624.050781,357.704498,3401.593262
10945.92285,361.706421,316.142639,10054.97559,1742.043213,12298.43945
3191.662109,328.597412,1222.968018,2268.456055,968.098877,2048.001953
11367.64648,3398.259277,355.748016,4955.712402,2148.286865,17231.70313
3562.441406,979.639587,2670.190186,4488.760742,1425.692139,2897.624268
827.128723,2866.824219,2563.933594,3562.973389,1356.904419,4723.383789
374.381287,567.531067,433.201355,468.338928,446.944305,839.934326
371.352722,286.383942,1053.156128,746.041016,677.449158,1339.090942
3151.895508,2583.579102,4992.327637,7334.358398,4283.667969,6327.883789
149.594482,90.358833,456.617737,234.770447,19.898888,112.025276
85.123718,471.14917,528.689514,659.134338,633.543579,2921.312256
168.524353,181.50322,630.481567,631.965332,261.253723,95.116684
1262.842651,194.843506,193.656647,1384.726807,777.192993,2466.152832
1126.151855,1245.442505,477.820496,3681.214355,751.139526,3858.078125
3733.304199,4172.251465,5443.180176,7836.095703,1609.66626,5448.999023
2019.057617,3715.574219,1842.200928,3781.598633,1062.279541,7069.466797
313.036957,421.955017,1329.459473,1405.809814,1192.014648,419.30484
1043.365601,876.012695,110.739403,3105.357422,925.627136,2667.534668
13808.26856,11638.4541,722.355591,16369.08398,1977.582397,21088.0625
10246.91992,5950.27832,1344.716919,7491.833496,4599.321289,14539.78809
2094.390625,186.772125,773.181458,1775.965332,1058.089478,3941.6604
2029.931885,993.90387,549.758179,1401.292847,1086.674438,3736.815918
1122.695312,73.78302,423.022919,785.714966,434.913666,1323.160522
2102.12085,356.538757,600.632996,1413.040771,603.275024,1142.043945
596.882141,625.690063,522.61554,1105.375,1260.77124,2024.656372
1210.566895,1090.141724,2008.015869,3643.198486,1529.460205,1862.375366
