pptase,GFP
127.313416,46.604797
61.446964,47.633911
204.108688,22.418213
250.920288,43.199951
86.22979,63.020874
77.860664,107.577515
49.753422,12.458862
117.25795,29.689331
148.854279,17.553955
81.930855,66.330322
77.852051,179.601074
109.787979,68.363525
23.01387,21.263672
28.329529,18.409668
10.984638,48.142212
60.273567,5.942383
149.720352,19.560059
53.143402,192.173584
58.834316,34.853027
96.744583,28.258301
38.379887,43.439453
24.411259,37.330566
42.100204,28.373657
73.492615,36.280579
53.565414,25.493225
98.987717,97.784302
45.30249,123.032227
77.241791,51.781311
23.36158,41.482178
2.554092,98.32373
49.672142,49.594238
81.424332,53.060303
5.670609,67.370605
80.795891,39.403198
147.664017,37.945007
4.435059,21.173828
57.22591,43.785217
340.368927,25.350098
77.734573,172.919922
78.714783,60.028198
54.05423,1.821777
39.794853,102.64325
81.833168,57.988647
275.532898,151.079102
304.597321,124.669922
19.908157,41.515625
33.859344,25.02478
134.882965,75.020996
56.75523,2.677124
206.41452,184.810547
43.106506,66.681885
93.603531,84.165527
22.459354,19.808289
117.262123,16.325562
85.565956,126.044678
58.77298,102.073242
42.403229,230.32666
25.134644,220.146484
61.885391,114.594727
45.520077,51.177185
47.956131,138.920654
80.608627,92.297119
90.739655,188.608887
75.900764,120.263916
135.050934,133.875732
148.589798,58.149902
90.579796,48.807861
137.167648,117.292969
107.336922,8.661865
20.360222,139.999023
22.006683,37.521729
66.428482,64.717651
107.00238,12.468506
211.241638,98.84375
76.265274,2.233643
42.358791,56.182007
17.726471,222.180176
223.825409,33.597168
202.241714,130.290527
7.994522,77.031494
39.634811,64.371826
92.798462,8.845703
78.130432,40.943359
25.558525,56.688721
94.031265,61.057251
56.156792,26.702637
17.586685,51.182617
51.488758,73.624146
101.822495,123.939453
57.568115,46.471802
47.434975,96.588135
31.275402,36.197754
135.243332,155.415527
49.805344,69.710449
151.532501,96.780273
132.767883,261.181396
32.432682,64.142944
104.969429,17.502075
33.279846,19.162354
54.050797,51.97583
52.44352,70.346924
140.840332,68.598877
10.874088,34.075928
122.337425,21.19165
50.375034,38.067566
8.598297,11.405273
55.185402,48.608154
40.283859,18.681641
27.572399,75.6521
16.309212,37.972656
83.102074,43.911011
93.1493,93.80603
134.17543,151.200684
27.725647,24.852173
61.701752,50.82666
54.257282,37.526489
175.689178,49.858154
28.439651,69.165649
12.567192,6.105713
76.171539,54.225952
136.917862,125.197021
44.462418,37.739746
70.050224,40.173584
112.627625,88.306274
76.86718,120.966309
44.390724,130.051147
194.721924,107.102051
6.651455,39.855713
18.918488,67.180176
83.405121,108.847412
81.835663,73.982605
34.170227,9.562622
149.48468,4.564941
54.086166,12.999023
41.395653,7.374878
55.64365,49.800659
9.49749,44.897217
17.66465,46.721924
115.924133,91.61499
111.606186,75.417847
42.050831,31.225342
66.467102,41.912231
19.18074,54.569702
34.132309,18.079346
37.532497,76.838013
15.79493,47.916382
82.766708,75.894531
1.601727,47.399048
69.945755,105.1875
69.227394,1.366211
79.326065,55.639771
45.570602,16.094604
17.425449,32.292603
81.310226,29.368164
99.354218,181.991211
38.062286,12.07959
16.143726,23.871826
51.695465,131.844238
46.742531,74.162109
91.067818,46.84375
1.830597,1.733887
47.525383,10.699707
111.346115,50.770996
14.045792,135.413086
61.677094,123.362061
74.593918,117.226562
66.495705,100.494385
70.960281,12.650757
47.016624,158.254761
53.168808,84.871582
46.146549,28.14978
50.375996,39.641846
46.357311,28.937439
4.675011,16.943481
118.285873,124.585205
57.662849,33.330566
57.232475,84.932007
129.253357,20.182617
41.400597,16.620361
124.17041,294.664062
112.403122,67.101807
40.757401,35.534668
79.162971,130.070557
51.514973,56.388794
77.224617,77.410645
37.557533,36.850403
60.160446,85.89209
32.098862,10.07251
53.988945,32.771423
339.391479,152.488281
53.397949,182.768921
95.699219,106.098145
24.593601,23.25
86.651978,172.417969
40.741047,29.16272
98.487907,87.658569
49.523804,117.734619
114.15387,116.84021
186.117096,146.53125
26.183598,20.487305
72.580627,2.010803
19.198151,160.255371
124.786026,84.010742
33.201637,87.516113
94.97226,104.687988
53.976929,94.987793
164.864487,88.281311
26.6315,191.001465
42.839226,78.940674
14.979225,60.147217
18.502247,11.669678
52.959534,5.86731
27.420162,45.066162
99.431717,56.814453
63.026688,5.508911
56.805099,70.799072
41.596123,77.199829
81.784988,79.328979
27.254536,17.632202
103.707504,54.827637
32.420029,153.586426
21.709179,40.516357
114.408638,31.471436
8.132774,74.371826
6.092911,144.664551
4.470585,25.794434
51.070068,150.784668
56.112823,62.87915
64.984184,36.062012
17.569916,15.074951
62.399536,171.913574
265.810883,190.732788
39.771759,10.69458
175.556641,132.939941
15.401657,40.594482
45.407913,118.788574
81.008804,35.955078
31.070446,9.380127
55.392296,65.333984
172.35228,132.147949
75.145195,42.646118
39.448784,55.43042
75.544968,60.059326
39.431831,54.129395
38.318787,82.739868
45.083214,38.556885
141.510437,89.286499
50.671059,25.842163
