WT1,SpT2,pptase,ST2,ST1,SpT1
700.642029,145.88353,249.960358,2942.596191,672.784546,86.08857
690.101562,906.001831,118.066177,705.913452,1343.220825,1713.046387
646.350891,151.385941,86.118172,3038.881104,297.559052,36.61055
7.601634,251.744522,381.055237,546.701904,304.624512,16.125515
1205.650024,20.364716,353.186859,1497.950195,352.322876,11.593133
3135.853027,4825.51709,967.073975,7287.326172,3903.311279,1716.818359
1594.912354,1408.505127,521.698364,2341.663818,680.345703,92.220673
1479.55957,99.722099,321.030609,5337.292969,965.662781,43.660339
367.306213,852.12384,642.064697,2497.650635,1167.093994,415.579956
526.300415,424.30542,10.971453,908.533569,930.515869,997.219666
5141.462891,4545.334473,2132.279785,23237.98828,4256.490234,928.676208
23597.93164,19.533745,195.667206,7931.023438,643.400452,285.44931
10212.19727,445.244873,204.917404,7358.303711,701.385376,318.260864
510.674805,27.992935,317.906067,750.418945,361.485443,55.636024
4014.883789,41.964722,711.933594,2326.164551,406.827271,134.741318
771.825439,666.375671,916.023254,931.157043,1362.244629,208.953461
140.1772,1037.540649,437.959381,1159.897461,771.01355,143.03656
331.878479,212.301865,351.735138,568.603394,186.631363,198.870804
789.298767,21.405958,609.141907,878.232178,1124.553589,589.252991
1847.287476,122.753494,18.544041,2194.471924,286.145599,435.140625
79.330444,104.626572,246.56636,264.551605,260.698059,34.268188
3051.85376,839.397461,667.436157,2995.047852,2755.867188,577.742188
4561.228516,4575.211914,1034.701172,10776.94629,2244.24292,283.549622
584.793213,893.94458,39.050552,898.620972,467.218506,603.533264
2654.327393,271.544586,226.767685,1788.929565,907.896851,514.954041
3025.433594,455.784393,109.284248,1946.432739,541.780212,311.264069
2303.44043,295.44696,339.962494,1644.543091,464.994324,72.774277
1368.534058,64.33535,108.244545,901.510132,318.164246,58.225708
5366.45752,183.131226,213.959534,3421.951172,305.441803,140.104813
8344.762695,474.00708,507.923187,3450.137207,1734.105835,1213.544678
4042.417236,355.136444,160.217941,3426.908691,591.903809,158.222595
58.392426,3717.543701,538.548889,2640.294434,1827.698242,2041.855225
2183.348389,2153.846924,733.046509,4327.893555,2047.032471,382.504242
9819.734375,307.040802,449.364838,6983.692383,1321.100342,757.784241
1950.928955,150.175858,119.704613,1459.384888,447.506134,325.333344
3674.093262,1338.105713,128.839127,4081.214844,752.291443,530.566589
3096.3396,5507.054688,1187.715454,8322.538086,4529.35791,1984.82605
7715.307617,778.930847,1285.986206,7949.665527,2858.448486,663.377747
5956.300293,2011.817627,50.486359,4906.37207,1243.466675,905.746094
1269.994751,680.948669,217.835983,1556.363892,606.8479,883.25415
481.240875,87.563896,76.214417,549.676636,77.425003,81.067657
3237.12915,1930.158691,189.545349,3836.592285,2803.369873,2606.796875
2093.467529,925.781311,836.104614,3207.851807,1319.429077,172.436203
80.290771,544.213684,233.426544,925.942932,312.670135,158.326752
772.668152,83.097069,247.054031,420.933289,927.581116,485.979492
6523.276367,39.359085,40.023155,2184.15332,338.097839,35.750282
1307.068726,1238.334229,946.74231,1396.925781,1656.640747,1136.979126
3380.968018,4307.04834,909.700317,7664.609375,2243.014648,279.042603
2622.6521,108.184044,101.57753,2827.218018,1355.080444,493.078064
1615.604248,171.950775,269.392761,778.490173,592.139709,396.67807
1895.873047,481.932739,238.6465,2911.062988,604.12561,435.565979
596.523743,429.459961,289.015137,913.907593,636.29718,719.345703
10203.76953,7107.883301,476.826782,9566.208008,6810.67041,2648.018555
1659.780884,226.792297,265.993256,2016.040771,681.872131,296.114594
939.538147,173.786987,280.468536,945.069214,503.219269,414.832825
3041.004639,1060.772461,44.523926,4184.881836,3647.74292,2914.875977
13592.85449,3178.625488,803.622986,12088.64746,2475.534912,1174.831787
12132.53418,12564.52246,393.196014,14648.45117,4639.222168,5113.725586
4222.041504,521.285461,682.207275,8774.490234,1443.502319,136.306183
129.381073,203.438416,289.638062,800.984131,383.929688,222.212936
488.7164,300.42688,49.738129,1189.862061,365.186584,439.954407
4068.248291,421.852325,134.83223,2695.224365,981.790466,726.305481
544.105652,56.910156,252.668533,500.683441,55.707954,24.924383
11454.41699,2837.393799,649.555603,11230.11523,2362.482666,925.340881
152.43042,2127.045166,2263.003174,2824.234863,3287.047607,679.627014
15136.04883,442.536011,187.524902,8555.702148,357.486359,525.889221
