WT1,SpT2,pptase,ST2,ST1,SpT1
186.173569,57.471066,10.998455,588.6203,57.158684,10.149926
1646.799561,382.12381,1152.450562,2386.568115,823.622742,56.49934
4522.407227,816.39917,577.790649,5250.751465,1887.005127,825.027283
7159.887207,2814.230713,846.111145,6999.808594,1634.380737,1046.48291
3263.714355,5.599459,262.452057,2197.869385,1051.07251,641.41394
5148.491699,408.867981,279.249664,5595.747559,670.712036,265.192139
553.108887,36.44183,834.526794,701.80896,1105.759521,639.596741
2274.366455,57.413395,783.448914,1216.376953,476.932892,55.764648
5714.437012,233.900726,165.491806,2216.934326,806.939819,678.011047
2347.381104,2181.662598,615.047302,4101.817871,2085.507812,1351.526489
3182.497559,2710.411377,1322.62085,1771.854492,4609.619629,8125.249512
808.773804,135.846848,225.173447,803.469788,311.751007,299.39093
6565.968262,214.43541,209.340729,6219.608887,1366.639893,418.058319
4679.30957,2117.82373,1092.930664,5494.465332,2507.846191,875.265259
471.511047,46.772476,193.780304,788.895386,205.025803,290.55014
1260.487183,671.660156,110.993248,3230.348877,865.857971,149.878052
1129.86145,1635.601196,115.172768,2242.627197,789.206726,958.457703
3017.229004,142.79364,211.025467,2704.939941,1151.672607,1129.175659
4421.944824,284.736237,1521.02356,2984.115723,1429.006714,1090.230957
1103.79834,542.19574,984.960754,2043.203491,985.899292,21.203388
257.728394,321.517975,747.328674,622.94812,1067.143311,648.108276
354.614685,408.006775,2800.499268,1067.604004,2146.180908,929.047119
1266.666992,540.941162,761.090637,4290.538086,1890.831787,199.7444
4000.122314,1595.765869,181.255203,4618.632324,856.176392,589.348877
75.25248,63.210384,45.634666,274.648529,91.545601,278.517609
3272.846191,22.821196,162.249741,1308.131348,122.447388,92.05014
1041.513916,492.835266,94.0924,1116.728638,687.440735,965.163391
1127.846191,451.122284,133.314148,1568.147217,995.729065,1130.046265
1674.535522,444.694061,830.944153,1601.54541,920.46991,642.688965
2462.094238,1733.009277,1329.182495,8224.852539,1947.213989,9.989302
4178.126953,48.78167,1.306816,1813.129395,177.166153,246.292282
2380.502441,221.812607,629.137085,1346.423218,1884.624512,1669.964233
197.48848,223.343201,749.122864,714.959717,472.470947,151.75827
4902.416504,62.26693,1157.332886,3696.647217,1728.531372,1189.137695
2507.523926,785.4375,1375.848877,4367.682129,1706.697632,420.645203
411.329498,36.79007,24.392582,231.2966,143.465759,159.10231
196.175735,1538.88623,550.172241,3448.659424,1502.525879,1261.436401
565.748718,1239.440674,1504.187866,1667.662109,1540.869995,1178.509155
5136.454102,6049.220703,655.191467,6449.972168,2143.32373,1630.036377
4900.293945,4407.789062,59.461815,5967.863281,1393.747559,1460.285645
2902.518555,484.533722,972.836487,2589.743652,2171.6521,1054.48877
4470.774902,5726.283203,1286.78125,8891.835938,3454.047119,2288.215088
2495.828613,2044.598877,3912.706299,4749.76416,4416.695801,798.791321
563.536438,673.138977,745.247681,809.476074,1237.635498,1585.227661
2298.154053,300.468781,444.991211,839.412659,434.449768,483.942719
513.233704,1353.277344,115.1315,1077.008789,1148.252686,2081.611816
327.626831,96.924812,256.977356,441.989014,900.241821,748.139099
895.772827,2299.209717,1002.287842,3391.420898,2275.677734,1783.614746
808.5495,360.535034,1102.921143,1040.39563,853.753906,71.750092
4663.691406,633.354431,1901.579224,3876.991699,2601.124268,360.323212
983.697632,305.10379,46.151608,781.528564,559.820374,898.599243
594.866699,1721.954834,2154.817627,2943.210693,1775.594482,518.442322
1646.071655,1025.900513,224.862549,2556.022461,917.387878,693.227539
267.192047,46.013577,247.123871,276.291077,302.514893,649.665344
1377.862427,139.272507,454.061218,941.824158,400.97406,93.841812
319.834503,298.24353,160.426392,586.657959,728.077393,943.749573
1212.333374,64.93502,577.217407,783.123718,575.819031,321.471832
1863.338501,645.467285,2169.315674,1934.182861,1884.515259,851.864258
8107.801758,4415.258301,123.414406,4935.217773,1516.507324,904.81488
4635.401367,333.067535,455.800873,3454.04541,971.798096,629.511169
14528.08106,566.593018,3086.138184,11735.33984,3586.23877,1083.445312
2413.622559,637.532227,625.567688,2446.084961,1007.997986,634.803894
2153.533936,1372.118164,525.992859,3588.983887,807.968262,717.518616
1287.649902,695.855347,1709.104248,2193.691406,1398.300049,1006.700623
5050.178711,453.417419,241.597717,3674.059326,649.656494,89.084831
2883.925537,82.033272,251.559509,1353.735718,532.516479,485.447327
3883.246094,298.47171,209.615829,2839.047363,861.370667,1041.020264
762.740601,778.89917,35.660736,1259.042358,538.880188,867.180969
1881.970459,3121.915771,146.812561,3133.594238,2450.640381,3048.135498
1077.485229,544.893188,242.10997,1524.53418,971.602478,891.370911
1258.443726,904.751526,769.984558,1872.965576,1276.974854,1113.425537
183.433319,250.917023,441.838257,553.294434,627.614868,424.889954
2770.882568,73.955597,138.064713,792.780273,220.177383,354.071594
1998.682739,305.156525,1234.50061,1496.986816,1145.734253,675.081482
1931.105225,1557.883057,520.480652,3248.057861,1221.506836,2424.326172
6477.989746,15.946556,146.737778,805.40918,402.433655,331.614563
2282.420898,5834.029785,913.528992,5507.758789,3103.794434,3720.478027
4843.617676,9134.588867,2076.850342,10025.76856,4577.708984,3296.583984
1616.997437,3579.20459,664.658386,3946.633789,1567.688721,1254.369629
331.293854,91.181419,132.314606,249.039017,114.753601,84.271912
680.118591,458.650787,155.601501,1540.763428,904.604126,227.29953
1856.386597,237.016678,103.80323,1668.976074,488.771118,774.584656
9678.618164,1168.756958,914.698181,5492.353027,1749.203369,771.437561
2114.704834,47.738098,131.407684,1287.453003,313.522705,28.967592
122.88205,412.094574,518.925659,1032.753296,767.453064,505.373199
1902.816162,4761.019531,1060.790649,9881.126953,2949.030762,634.066345
7472.782715,4292.226562,379.015686,7672.432129,3332.155029,4601.727051
5078.375488,911.829285,1318.254395,3885.013672,1506.989868,565.997314
400.627716,125.58477,99.450996,628.990112,797.114563,407.473267
4815.865723,1321.089233,178.982544,4108.29541,1121.640381,617.439331
1695.857422,1016.277771,1860.783325,2287.440674,1448.02478,1077.296753
1041.071533,2492.976562,655.755249,2797.914062,1770.953735,2343.560791
123.357521,35.382877,60.484299,364.798004,225.407288,489.557068
7201.268555,2036.064087,1572.790771,3849.865723,3097.391357,1681.216309
923.92981,191.765686,328.45932,963.171936,416.446228,128.806198
4402.412598,4660.39209,305.778473,7303.565918,4545.309082,3926.282959
3004.327148,1887.092407,1070.544556,3740.412842,1696.715942,804.057983
253.661621,200.364151,1076.293335,719.680054,1064.268433,1125.492554
276.957794,68.578728,62.559017,151.049728,116.528824,30.901112
10518.41699,2717.593018,924.290833,8841.033203,1751.243042,972.981323
1523.631592,1243.801514,363.255646,1422.978027,1071.009399,892.516785
