WT1,SpT2,pptase,ST2,ST1,SpT1
236.846832,232.321732,488.865692,5529.546387,550.33606,387.762787
150.400604,209.410889,3715.981201,3983.163086,1727.609497,1226.537842
38.149197,25.367043,1606.994629,1409.488159,1226.835449,232.784042
28.397444,114.230217,475.03302,732.255005,325.643219,93.825447
128.157425,107.653107,262.198212,675.841187,40.744644,161.699738
29.510744,46.667358,237.655136,455.092163,498.136078,367.635864
124.047104,19.656832,190.811798,659.314087,347.576813,162.93483
212.944763,196.055847,555.095032,3624.807373,670.426941,475.486053
101.840584,113.092087,1994.765869,1343.642578,1884.369385,1015.083557
1294.714844,557.244202,1896.746704,3323.174805,1649.12085,1344.283569
26.330523,69.285172,382.250763,490.458221,249.138397,13.27657
140.148575,34.163059,942.246399,922.409973,326.568298,215.154968
85.298904,1192.488647,1690.325928,2000.035156,2238.082275,1098.887451
205.019455,2167.702393,1856.556885,16288.42773,1487.518555,964.134949
1270.782715,124.882141,2929.071289,8567.055664,4075.858154,879.768616
220.78804,78.158035,303.701843,691.518982,388.236115,265.48645
58.737263,12.730986,2175.842773,1132.744751,813.298279,356.837097
21.623444,119.881683,626.871277,949.346924,686.5401,320.288574
159.489136,2358.712646,1424.028687,3067.414062,2845.371338,1777.504395
181.859772,1899.872314,8357.641602,4946.837402,7545.1875,4804.819336
126.046844,1006.499878,3865.662354,3728.226562,3525.19043,1296.509644
786.767029,348.802094,1449.695068,5307.737305,1744.453857,702.679688
1233.801758,3821.466309,6556.237305,12473.52637,2702.784668,2604.786865
59.554497,30.248268,253.588516,486.135742,308.417999,343.51178
116.779739,16.169846,152.087372,1491.400879,351.281982,164.657608
81.001709,181.520309,101.769722,26.38171,126.087212,35.070595
117.909164,5402.447754,4768.527344,5746.505859,6281.860352,4368.409668
147.941971,111.073273,464.015106,5308.211426,801.608765,389.853088
39.167976,8.359562,142.006195,11.145131,51.367332,91.917107
185.387924,393.450592,670.453796,1408.572388,354.983459,452.158173
76.725601,6.446769,1424.203735,1582.584961,699.715515,174.797073
171.867126,8.842326,938.772217,1710.252808,1218.276855,309.589722
267.299591,320.105591,3643.965332,3529.625488,2285.742188,1122.617065
179.411133,531.797913,941.357483,639.802368,1008.97998,825.324158
53.73558,6.523629,133.263397,2894.564941,291.658173,151.989502
1.905787,29.906719,613.857849,423.418304,254.932953,123.643364
124.145485,907.298218,1001.446411,4753.806641,1551.742554,433.441864
105.340561,58.045326,374.624298,944.553833,370.519958,195.046524
22.933323,61.386627,1243.389648,2526.833252,874.944519,530.880127
75.055908,173.631943,599.29248,1139.395996,421.748505,212.303024
