WT1,SpT2,pptase,ST2,ST1,SpT1
4405.046387,134.898849,428.295013,1571.519897,402.493469,608.251648
2449.480713,327.167267,664.91748,3779.416504,1030.028076,241.68924
1515.762207,157.111588,850.130737,9305.399414,1829.608276,1471.440063
2952.067871,1151.804321,840.325928,1999.783691,655.466797,1576.536621
3360.091797,565.437134,28.522699,566.214661,167.693085,1916.449951
699.029297,2718.702148,3020.275146,5520.679688,3272.196289,395.318756
12528.78613,2080.129639,3109.884033,14810.76465,3548.871094,3451.366455
93.675087,467.445892,225.094055,2044.337646,468.043488,70.426949
387.627625,316.358093,167.944519,214.798828,129.145889,298.035034
5344.086914,336.503082,1193.034302,6604.017578,2018.964355,455.035522
265.203918,157.106888,306.636322,727.353394,542.746399,308.391541
4500.904297,418.516418,457.373169,8078.52002,1998.776245,1481.454712
1188.511353,608.732788,1116.880371,4323.922852,1114.279419,437.605896
298.665649,13.93257,816.13147,1881.422241,927.863403,171.215149
2498.079834,281.584503,1809.490845,2285.403809,2009.383667,332.595459
9812.858398,296.374878,1705.389404,7194.132324,1427.4823,88.421165
143.743622,103.127632,724.321655,381.556702,460.980194,311.271179
2474.688232,592.580322,411.108917,3597.746094,449.976288,866.564453
1954.958984,259.684113,133.89679,5845.868164,405.98996,902.007019
4866.758301,353.381989,561.792603,3089.752441,552.457275,1283.980957
2098.236084,310.346558,5429.992188,2679.446777,925.880432,136.714676
408.77774,234.924332,300.053314,2767.856201,666.4328,598.026978
224.687042,37.733547,124.684807,469.672546,174.05217,425.007599
3649.458008,988.484985,1385.721191,8875.870117,2243.041016,218.845108
2080.368408,313.215393,354.017303,1392.057007,529.187927,1681.326538
986.194946,312.474152,393.312134,573.797729,217.877289,734.032349
51.138367,279.949615,304.907196,640.95282,549.032532,419.72525
656.128418,706.566345,180.388916,1388.069092,687.615784,1464.865234
832.151306,749.322876,102.762474,1574.129883,653.726013,1929.898926
1314.612183,126.437958,394.686035,1534.920532,822.936279,1203.979248
2530.945801,421.890076,1824.488037,7580.179199,3299.796387,266.225342
2301.272461,119.635124,1800.046997,1756.788818,1130.528198,334.196991
815.732361,277.253021,1975.198975,1615.737549,1967.349121,741.743835
2064.189941,4006.986084,2233.124268,2030.61084,936.979431,5858.52002
554.110229,55.159893,279.567871,1761.967896,496.984619,199.307297
1533.488037,654.537476,529.523193,2068.32666,425.325134,2042.013916
8431.927734,1164.231689,66.721748,7189.829102,1313.329956,2953.144531
3775.996826,226.304245,5.831867,2535.333008,1466.940918,8214.859375
2028.11792,257.397034,689.870178,1129.155884,293.943756,345.076324
7116.512695,1885.590088,84.842506,6108.007812,2400.786621,10388.72949
155.720078,320.480774,3893.435791,2166.693115,1971.758911,286.311859
2187.313477,323.149567,407.337128,1787.613647,390.318512,163.586319
872.619446,149.888214,201.825409,2391.341797,266.253296,195.50354
5981.267578,68.097038,413.345093,2072.019043,1029.507202,2391.000732
660.678101,186.75,886.662659,1920.820312,882.007874,363.304688
1021.760132,1170.721313,685.752686,1122.436401,512.666565,2529.408691
2370.75708,379.699036,1029.180542,2533.503418,1804.945557,426.339203
322.124298,460.633728,498.128967,1100.144775,1155.992798,1346.347778
7185.328613,909.266846,1076.647339,5660.913086,716.98822,559.559814
296.04483,438.517975,834.098877,3802.055664,1449.020752,167.981308
361.007172,330.262695,1976.475098,1547.34668,1303.180298,2.938723
2489.111328,476.056641,137.065582,1879.198242,480.82666,3978.239258
804.184021,358.058044,1758.317871,1058.734375,1371.804199,597.30127
2675.779541,629.140991,410.658234,2067.108643,1073.316528,3709.630859
6442.81543,262.892242,433.109039,2126.231689,205.077042,753.186646
2446.604248,544.599548,98.249184,2008.365845,67.568398,1187.169312
2730.726807,525.390503,365.910706,1836.737793,442.575073,1013.796387
4959.248535,374.527618,648.737793,2508.496338,614.811096,1269.078857
831.706177,83.203979,405.6604,1885.092285,896.502991,731.030579
3932.984375,830.889587,258.338623,2503.274902,548.736572,4652.780273
646.415588,944.637939,394.283234,1054.746704,1338.161865,1966.929199
216.02533,24.608461,173.072418,294.355347,153.016922,17.058846
535.747803,1738.516724,876.226562,1936.576416,685.589539,602.464111
5170.162109,912.113831,2633.71582,5943.071777,1737.247925,1499.108521
1778.055542,410.767914,1110.001465,2882.522461,1582.403687,650.413147
349.389221,222.21405,1673.001221,870.470642,948.358337,175.466797
938.46582,625.674866,4887.272461,2055.065918,3263.37207,325.844299
1062.773926,113.024574,669.488586,975.989868,528.477661,78.814018
286.990845,35.846333,322.604706,241.191925,244.476517,483.199066
3712.662354,254.752869,1941.175659,3374.587646,1815.206299,641.364868
588.021484,398.985901,2194.873779,2400.165527,2508.479004,161.479752
4877.015137,84.751022,1415.886597,6748.509766,2309.276611,516.196411
5738.55957,844.819214,756.529114,4392.203125,483.878174,2335.439453
2545.952393,233.239532,1089.684326,2995.836914,1524.05188,269.541534
13662.40332,784.354065,477.600708,4506.756348,1236.921265,2806.02417
476.968323,87.309715,561.313843,1565.963135,553.47229,96.856499
1391.224976,353.479462,807.017822,2305.633301,1096.460938,585.452637
1157.36145,357.628235,1380.152344,1148.22583,3322.846191,2979.37085
7795.026855,331.387665,512.10614,1684.271484,643.226257,1023.787354
1030.702148,129.831177,541.135071,842.886108,298.357391,151.982971
160.110916,117.831612,273.064819,212.545944,196.215012,97.131424
289.924164,185.037796,554.768677,2241.162598,638.6427,400.176239
1920.921753,137.688141,326.060699,374.323853,227.549927,48.497395
279.177582,265.086731,374.570465,385.393951,94.961723,240.021606
301.983521,95.44519,203.898193,1835.676147,729.256653,65.195404
4695.3125,607.376953,144.922119,5258.100586,954.732178,1345.391479
686.80249,196.596588,522.792969,3019.985352,1285.815308,1160.819946
184.519348,127.350487,407.552521,369.376373,274.689667,601.789795
1916.875732,2230.420898,487.96875,3544.70874,2295.996094,5798.943359
1372.589722,650.30835,355.327606,1923.250122,1305.588623,1655.631348
4144.089355,692.063538,7791.626465,14474.19727,4313.245605,515.877075
131.376801,79.744202,500.017395,266.629944,241.311981,24.673372
55.626266,55.259609,463.635864,348.358521,109.707558,88.347328
4792.375977,19.233278,1039.812622,1178.183472,629.509949,378.494537
793.18988,222.537399,492.429199,1578.321411,1203.404541,769.961609
770.787354,541.760193,3574.508545,3953.72998,3365.101318,664.77887
426.620789,74.160324,684.434509,1088.423096,1531.720337,701.622375
346.174469,3.911104,102.317291,798.296509,139.429459,411.560883
975.079834,2038.122681,1131.218994,1949.005371,1123.79248,5529.252441
1497.971069,212.161087,287.653778,820.963989,336.571503,586.490906
14440.79883,280.209991,417.251617,4841.58252,589.362366,471.736145
