pptase,GFP
466.414917,6021.398438
907.526245,7573.453613
401.958984,11261.53516
1061.409912,14630.79785
249.252655,7833.344238
1234.320312,13199.86426
10659.69629,75280.40625
127.241959,3917.720459
217.852905,4314.527344
534.182068,5176.358398
935.410217,6846.919434
170.475128,354.014648
784.685242,8307.688477
2390.754883,13818.32617
1779.602173,5944.193359
1449.745972,1625.613281
958.445129,89673.58594
707.086548,5714.1875
335.150787,1062.584473
135.044739,3396.151855
204.045486,7219.325195
4320.219727,38328.53906
2369.886475,20626.50391
3008.52832,9484.78125
403.224426,2197.385742
731.255249,4004.927979
3917.401611,10763.64746
1237.262207,7122.46582
157.804016,9231.353516
588.062134,8943.81543
189.147125,162.957275
4687.97168,21380.22852
124.165146,1056.674438
3769.955811,90594.91406
279.941406,741.769531
710.416138,5903.117676
68.848869,15758.89356
942.448853,9885.666016
4151.640625,23646.38672
121.379883,1607.927979
291.513,2492.422363
394.027252,12935.54297
1293.479126,12535.89648
5392.506836,36754.81641
379.254181,910.444092
1443.622314,7511.790039
770.616028,19536.63281
1806.379883,10443.51465
362.28598,2132.682373
446.957581,2003.89978
11.848602,1143.883789
2151.629883,6807.154297
475.379944,4711.545898
866.349792,3751.209961
134.06514,2604.442383
891.545837,8611.365234
420.175507,12718.83496
116.49202,2076.532471
132.586853,715.932739
1544.968872,5032.391602
293.331207,4137.374023
2534.773926,22531.83398
446.380859,962.622803
1337.959961,8070.60498
689.333252,2627.105225
438.368439,3300.094727
296.479736,5379.883789
26.837891,564.53418
616.806274,772.664551
132.106583,3568.582031
271.668182,8031.929688
205.435165,6572.858398
537.812744,7533.575684
391.690674,12744.74023
1785.977783,15601.54688
1927.981445,7695.786621
2172.541992,16373.1582
278.49942,2576.049072
754.958069,4564.550293
446.434387,3496.314453
799.708191,3352.207764
198.427338,13047.44727
6.801109,224.9198
392.615112,2740.456055
487.035919,9974.287109
441.132965,5681.549316
218.310898,10717.79297
1012.348022,26107.95703
300.900085,7675.678223
748.801514,7996.318359
160.515686,4297.616211
1020.068237,9397.200195
1905.767944,10227.97559
33.361568,2627.718506
2245.334473,9113.796875
565.731262,6588.916992
278.003815,11117.49414
620.017456,6788.851562
555.622192,5990.37207
520.601807,5415.623047
109.453789,8666.305664
17.156311,212.31543
210.039169,4709.043457
33.210953,919.996582
141.367584,2042.012451
1535.730835,10358.88672
43.881279,2841.79834
462.967804,2825.130859
623.232788,8388.800781
108.133736,783.387207
339.691528,2887.026123
143.684448,1330.574707
416.709778,3642.068848
729.22168,2952.564453
137.29364,1335.851562
219.48259,1708.474609
101.55365,806.429382
1331.309204,14493.98438
3041.458008,19857.27344
540.664124,8265.271484
163.964844,11215.28809
1057.606323,18759.96289
635.842224,5343.868652
133.977722,7027.806641
64.830956,20062.1875
249.188293,3255.997559
338.707336,14393.91113
167.347931,1378.440552
38.30479,4762.90625
485.056091,7174.5
480.16153,5119.274414
239.13681,3694.824951
263.024628,6464.961914
1911.202271,16509.70508
35.188522,8086.498047
186.876511,9117
3119.96167,26393.91211
86.401382,1496.165771
928.626343,17035.64844
1679.414795,27857.20508
653.55188,5484.114746
654.376282,8036.806641
1612.148438,9766.123047
1604.217896,9933.954102
339.507172,1763.042236
144.28125,6886.910156
118.429764,1169.185181
469.805359,3854.851562
491.44519,2844.599609
464.304626,17090.74023
649.522156,902.295898
974.77124,6727.739258
656.140747,3338.53125
451.754639,4230.479004
2354.538818,22843.12305
1987.379028,12326.04492
172.090851,1652.675781
840.710205,6297.665527
83.862488,607.545776
717.770508,4491.07373
5921.438965,35588.57031
278.942078,4690.779297
759.749023,8481.996094
145.202301,1485.652222
297.246338,2288.10791
38.176636,1692.662109
503.951874,3000.609131
350.421722,2387.7146
707.142029,9508.761719
85.013977,393.555176
548.80072,22624.17969
3709.550537,52410.98047
70.037857,580.786743
983.201782,5751.503906
47.295471,17673.16211
128.495575,2362.952881
217.389801,5033.195312
1634.671631,12384.21094
617.75824,9787.685547
822.078674,13874.88281
137.696045,1271.850342
107.356689,7720.262695
163.039337,3334.944336
68.379425,203.62854
429.617004,5612.500977
37.883499,230.531494
596.42395,26872.01172
1786.845947,15413.37793
1344.99585,10685.96582
1859.685303,22915.98828
1724.612061,13435.87305
198.929932,8751.770508
386.919769,1838.314941
219.00264,860.130676
793.448425,14003.18848
592.084229,7502.569824
694.667358,23851.32227
1605.679321,18449.49219
60.2509,221.683105
673.657227,5568.222656
943.9375,25943.12109
1928.945923,14420.65234
126.033768,6645.606445
198.261169,1132.933594
437.933777,3864.132324
478.864532,19394.92188
960.019653,7407.789062
1644.616211,13811.10938
142.156021,4629.31543
204.845871,5913.813477
266.811646,630.786133
248.10321,7597.357422
397.238525,8646.026367
153.37291,1081.663452
390.766998,1597.629395
134.168365,7863.408203
462.863373,3120.846436
429.821106,3755.803711
607.970947,5844.332031
199.396988,1983.807495
520.160889,5397.972656
57.468483,919.214111
557.559326,10148.26563
245.990723,2984.403809
127.88459,4329.84668
38.689758,1761.109375
225.261337,2354.618652
132.03183,1185.94458
1566.930908,41418.98438
303.15509,2870.666748
773.432617,7266.436035
212.818634,5126.742188
32.052605,75.531616
377.569946,7037.600586
555.933044,18946.58594
106.335556,1142.878662
980.06311,19873.00391
260.21991,711.184814
503.990417,9059.806641
3843.201172,35554.9375
2113.915283,16532.50195
152.628448,1687.14209
1778.921631,9521.255859
88.094429,7127.013184
775.481934,4819.62207
82.355392,1543.603027
387.900391,2629.443359
94.337425,623.596191
326.384094,5662.520996
3884.377197,30583.92969
1048.861816,12007.21387
371.881226,10589.69043
320.407806,2733.244385
102.943481,4510.970703
1591.28894,10061.9668
233.811813,4604.131348
90.318558,485.956543
22.891006,36.53186
852.110535,9534.083984
517.063599,6279.196289
331.069611,2994.866699
937.918823,7479.342773
560.977661,5234.916992
272.017639,2902.901367
1165.661377,5917.05127
124.26976,502.502319
287.975616,6204.026367
254.98053,2158.248291
210.893127,4308.802734
441.250061,2223.916992
605.476746,8678.729492
4649.76123,59271.10938
1692.121826,13760.25879
221.120972,1234.89209
196.57666,4893.648926
350.699402,16500.39063
122.289421,1345.38208
2011.373657,31061.51953
1015.904175,10130.60938
170.270996,1368.250244
559.026123,7025.828125
83.54805,10109.83887
643.803711,9959.260742
508.814392,13033.78516
117.326508,871.299561
1399.33667,22814.80469
151.830704,2558.81958
358.7323,13635.87891
127.347084,1428.753174
332.138184,9096.998047
96.675385,135.363159
425.922363,2506.273438
218.532196,15427.4209
327.008911,3888.719238
13.060596,123.288452
16517.22656,87361.375
298.504272,1873.042236
393.386993,22561.57031
331.612854,1905.780151
1007.684082,7638.888184
45.016998,6954.674805
2097.85498,18181.51953
139.279144,972.963867
247.935211,7954.324219
564.22052,4912.520508
108.466919,2823.994873
319.743317,6642.788574
1201.070068,13374.5293
206.315979,1564.050293
237.036469,1955.171143
157.614944,8439.918945
371.300476,3998.258789
141.963593,2897.459717
49.475231,1488.604858
332.609436,2472.105469
455.382233,12245.68945
50.314423,859.838867
1702.449707,29479.61719
1047.255737,6779.422852
3587.664062,28497.23828
243.200684,8565.542969
544.927856,14516.91797
160.468918,1750.893555
73.390175,3727.320801
222.247879,1371.508667
24.353294,740.773682
75.520752,1286.127441
1751.143311,12176.29102
3042.957764,18090.37109
3176.178955,22218.64648
177.591812,1868.723999
1490.34314,11574.2959
3444.803711,23206.58594
339.174011,2852.427246
113.985931,2947.017578
994.379211,7532.415527
785.402283,6261.606445
201.293701,13620.09766
180.048965,11669.70898
340.893158,4930.935059
109.520569,580.140137
434.087708,3475.386719
344.403992,5957.26416
203.240982,688.272583
403.579224,8717.569336
184.323746,2124.752686
508.676941,4831.358398
1242.792236,16300.25098
6200.494629,35691.33594
1004.635803,6950.11084
51.398376,979.220825
624.274048,20838.52734
945.967896,9104.185547
74.852005,250.790894
622.076538,4136.856445
211.861298,13673.80957
593.186279,6674.23291
253.200394,4379.918457
590.975769,4153.271484
525.295593,3735.445068
205.709824,13700.45996
299.110413,3593.92334
371.239288,6009.864258
203.361588,3709.986328
222.904541,2825.173828
305.562408,2068.600098
222.078369,1239.500854
120.211395,3814.417969
584.210327,35489.21875
209.722183,1645.676758
1223.008423,5770.382812
279.694458,7003.103516
221.723831,1936.959229
139.463715,641.374512
2072.505371,23482.23828
261.033752,3434.057373
344.669403,2919.023438
241.216644,16522.81641
187.669312,14559.85352
80.191467,839.717285
278.833618,6967.432617
47.714157,3013.429199
1032.619629,8935.370117
94.661285,1340.64502
206.608398,3719.238525
572.404236,7223.22168
422.209473,16022.51953
49.859665,2812.205322
1159.003296,8160.268066
1822.835449,14349.14258
284.152466,2469.901855
137.894379,2868.054932
142.924362,4411.016113
391.982971,7200.48291
709.360229,17803.48828
2694.614502,14993.43848
473.475128,5181.014648
22.84219,4436.931152
1654.424316,19393.78125
40.59671,2028.95752
5195.164062,39314.50781
214.406631,1620.678711
1327.628418,28067.21289
350.896362,2550.149902
2009.447021,15434.9668
914.992798,5574.397949
382.705261,2915.361328
2026.538818,13461.45117
1907.228271,21492.31836
200.252777,4004.198242
1402.972412,8785.4375
72.936523,330.947815
282.03714,11795.33691
432.401978,14939.15918
94.665588,858.085693
1056.024048,12071.89453
824.713013,6019.725586
552.394836,4961.930176
400.561462,4556.262695
562.845215,14926.50781
252.083633,818.434326
195.705017,5478.617676
415.328705,2361.542969
521.765015,5450.849121
13.518631,1843.937988
213.376312,2046.691528
775.570435,15648.85742
13232.05176,124994.1641
1516.998047,11910.52148
353.921448,7606.68457
600.46051,24176.05078
765.501709,10426.59863
706.6073,6763.230469
52.768524,152.879395
808.685425,7417.154297
166.317719,13276.07324
225.048019,16677.94336
336.939178,9555.588867
666.299927,9064.199219
501.934937,3262.290283
248.80426,4270.145508
513.882935,5140.407227
89.977097,746.896118
136.923462,546.476318
85.225021,1765.601807
2699.9646,15634.10156
407.630219,3349.017578
67.723389,1505.020996
331.007263,3485.363525
203.899643,1170.57373
305.832428,1998.919678
418.66156,3279.198242
42.984634,178.20166
278.105621,3002.871582
158.431808,8417.015625
144.393311,915.275391
131.655289,1296.69043
603.249084,26570.73438
4254.914062,24062.38281
561.35199,11602.16113
14.579239,910.398193
131.223755,1000.970215
618.713318,5366.402344
140.509171,2811.703369
610.595093,6054.734863
36.954201,1221.610596
419.451172,4143.806641
4301.915039,54591.07422
171.284851,3093.62207
330.750916,8340.211914
210.766479,3120.618164
186.523453,3105.803955
1850.767944,10119.74219
242.326447,5639.594727
320.332458,3629.701904
1449.920288,12587.29492
403.682068,3813.931641
7530.957031,44880.62109
286.20459,6056.01709
2498.157227,19521.09375
1018.565308,17848.80859
255.899841,6173.758789
776.797546,8831.865234
192.445908,923.816895
313.31192,3046.029053
174.055878,1283.871094
240.643555,10167.98828
1415.258545,9438.71582
90.310303,446.683228
202.935913,2874.143799
847.857605,10476.51367
1001.954346,7821.306152
3537.80127,27390.8125
331.644623,2631.657471
959.23877,7531.999512
2874.281006,33805.30078
224.721207,5784.637695
202.581635,1877.075195
960.779663,4954.52002
115.789124,878.318359
58.531029,100.800171
662.059448,10668.28711
249.979614,17803.68359
420.596497,11970.52246
633.121399,28630.9707
520.206421,10570.63574
293.365662,4285.742188
1044.048096,15058.37793
3246.056152,23516.86328
491.160553,14542.34961
882.073242,7462.484375
569.470581,8106.918457
74.600327,4482.458008
1107.501831,7285.537109
364.368774,10495.70996
391.803375,6735.061523
71.7174,487.656494
499.161804,3749.510742
992.151367,6706.369141
174.811829,650.000244
188.867798,1421.49585
301.58667,3413.168945
258.84845,4011.776855
906.960693,6392.262695
1674.918945,12003.53906
532.797852,16414.85938
321.720764,16645.31836
418.804596,12592.48438
311.496063,6723.362793
545.669678,3881.472656
124.774109,230.906738
45.80365,2486.668945
349.844574,8838.27832
143.977158,291.345581
211.343964,5888.902344
5.453239,222.150085
513.22876,10555.30566
200.184235,2929.836914
247.116196,6853.422363
533.664917,4050.931396
1110.868774,10658.47754
1402.247559,9490.376953
