WT1,SpT2,pptase,ST2,ST1,SpT1
5660.910645,298.882019,369.240082,2419.20752,39.776115,432.738617
133.944,229.379349,501.895569,306.564453,10.367537,311.198303
1840.735352,12077.53711,16261.35742,27973.69531,5783.936035,2834.731445
2825.265869,143.114731,167.645859,1160.249146,260.557861,520.438354
6595.754883,3474.099365,1123.789551,6423.748047,4094.53833,6538.113281
4932.603027,906.068176,901.350281,4745.169922,885.100525,5539.110352
819.375427,3071.980713,2217.859375,6648.887695,3399.326172,2141.550049
1030.490479,176.296356,274.790497,838.428772,166.83432,570.957581
839.444519,2371.986084,940.31311,6194.705566,896.151367,2442.043457
318.194214,918.220947,409.630066,2959.182861,609.70105,656.989197
3679.65918,9918.057617,16136.95508,20432.55078,3145.821533,4575.648438
448.295349,547.90387,1119.492432,1802.24231,202.252884,176.231995
9858.3125,1239.327515,122.240112,6684.61377,1704.405029,3897.553467
2157.343018,957.415405,1693.797485,2754.220703,1102.027344,914.392639
12608.90137,1283.05188,25.984516,4792.210938,655.447021,3894.227539
9025.444336,2802.915283,1903.298584,10390.71973,1380.598022,3928.505371
941.494141,963.032715,1077.181885,2593.484863,1468.010376,1790.587158
478.217896,129.969086,53.869743,279.8078,238.352921,752.841309
3986.763184,376.579407,2361.913818,4588.641602,1360.047485,3824.264404
1043.09436,4023.466553,10265.16699,12889.45215,3990.834961,9916.53125
4020.330078,1016.861572,444.453796,2178.861084,788.722534,2452.912109
13717.94238,30303.48633,20574.36133,31398.02734,5849.212891,27435.26758
811.272156,283.600983,312.479523,959.718323,207.320267,505.357758
4447.452148,665.199158,531.550598,3974.050781,681.847168,1189.108276
6760.942871,420.103394,815.299927,4098.385254,915.189209,844.593689
26190.48047,34.826408,379.355316,5710.370117,572.093567,1360.968262
14459.76758,203.873444,13.807933,3756.745117,60.212349,1091.005005
829.894104,140.086807,20.291161,756.90332,1068.545166,2217.461914
1128.205933,970.870422,1947.735107,2908.806885,680.830444,221.671646
2195.443848,857.398499,118.96991,2197.13208,822.919128,2983.318115
3032.600586,2993.833496,287.861206,2961.677734,1462.036743,4872.152344
10362.41309,256.186798,31.279757,2928.390137,85.790825,455.416077
3567.642822,2196.008301,2136.280273,4045.947266,1378.601685,4956.726074
2905.235596,607.271667,392.260712,2919.868652,875.653442,2181.157471
6077.54248,1.873216,232.959808,3418.015137,128.465103,613.477051
518.949341,876.149963,503.096954,770.006104,1227.426758,2075.444336
2959.475098,1492.041992,660.941833,3871.379639,640.20874,5158.413086
4801.916504,6724.016113,5147.024902,9229.225586,5271.664062,11584.94531
17311.65039,1544.828613,1262.583008,9481.59082,956.971375,1340.137573
3594.289795,378.961914,358.186066,1477.728638,49.797878,399.047821
1103.704102,426.838928,653.402222,937.012634,347.688171,630.617676
5187.049316,1429.779053,1338.973145,3454.207764,656.638489,2533.476318
5119.054199,563.442505,41.406673,1571.003418,474.335999,2718.64624
5500.804688,1388.658936,68.249138,3667.156738,608.466309,2115.287842
