WT1,SpT2,pptase,ST2,ST1,SpT1
345.857269,1632.52356,3065.081787,3650.76709,2246.138428,3538.696289
367.445679,373.5867,993.618469,1118.292358,488.84903,2248.074707
552.848938,241.004837,43.520317,434.447601,150.413101,872.710327
526.988037,185.874939,110.514969,600.957214,365.892578,838.644165
1835.188477,3114.99707,380.920929,6021.625977,1291.086304,3573.375488
629.562866,59.32642,64.741783,140.613846,122.122032,215.349152
1661.598022,181.127792,86.34462,3162.884277,1085.52124,5868.491211
128.674637,27.40732,195.406509,259.347687,240.279694,311.017029
1570.735107,422.654877,2658.467041,7289.969727,3846.311279,4112.14502
21.160873,436.305634,690.426514,731.891113,356.830292,122.764046
3679.909424,1112.628906,1412.886719,4254.785645,2146.730713,6649.204102
6063.04248,4672.591797,131.905228,4561.25293,1351.868164,9267.123047
601.292786,1328.263062,415.765961,1677.367432,1776.055176,4896.680664
689.691467,420.978271,200.095612,496.520966,600.760864,1909.837524
6197.271484,2426.226562,3034.916016,5425.070801,5802.023926,11400.50781
3676.096191,1992.317749,1312.898438,2995.335938,936.810791,4436.536621
3154.183105,91.317383,232.184021,1587.805908,347.03598,1796.78064
176.782455,45.867653,786.112427,383.566376,1099.395996,679.330078
5855.572266,5116.258789,3707.802246,7479.058594,5505.340332,18886.67578
1189.638062,35.593548,347.299988,1322.234131,457.780426,876.917542
2244.007324,1208.23877,343.070831,3110.441162,886.570557,4965.355469
223.920776,309.731354,300.227631,323.603302,214.343796,313.388428
2728.512939,2318.34375,472.962646,2995.663818,1158.366943,7708.355469
1458.907837,2874.220947,4322.083008,4832.70752,1403.925049,3509.664795
80.279213,2138.344482,3756.343262,1958.073975,1346.392578,360.070404
1940.986206,670.597351,1461.598267,1638.015747,280.939117,25.793894
3545.996338,1316.967651,2631.45752,1414.692383,3230.354736,5500.696777
1791.8479,403.096924,974.883362,1541.871704,1074.427368,2792.928955
263.988831,100.930885,345.585236,363.232269,151.463577,29.991592
69.738014,316.684601,834.758606,517.061584,795.73468,845.328674
490.358185,80.324821,499.318604,1939.152954,1761.232544,2455.125488
1288.972534,2159.374023,1.917782,1900.448486,917.927673,7302.475098
2256.405029,384.581177,257.586548,1744.346191,964.120544,4321.976074
309.14325,73.390892,416.695068,646.64624,725.243896,753.388611
7969.452148,1467.316895,1101.761963,5449.03125,2054.97583,8096.070801
3392.94751,2938.191162,1224.391724,5765.358398,2019.362061,8501.75
894.728821,748.848389,92.162354,1582.838135,389.107941,1690.664307
323.019135,601.715576,75.659286,705.890991,170.222183,1520.093262
874.94281,56.861729,242.811264,735.089905,5.296808,14.307541
930.109497,99.825508,307.491638,383.470581,472.993073,819.351135
1013.910095,851.981323,709.74585,698.424561,401.183289,967.694336
1628.817139,2673.823975,1841.665894,2588.006592,2389.344971,5844.938477
1586.407349,250.823486,8.379818,3866.294922,1167.248413,3173.795166
5412.76416,5838.984375,4332.981445,7399.000977,2186.195557,12474.24023
2964.70874,743.662659,330.056763,1676.10022,833.839233,4529.549316
493.534851,4422.697754,1175.422119,4816.812988,1807.817871,9392.723633
1647.048218,777.80896,1340.989624,2224.055908,622.795715,871.570312
3464.681396,1621.422241,1112.38501,2955.786133,532.754395,3008.007324
36.753048,1611.650879,2391.093262,2255.532959,665.081116,3831.102539
745.758911,548.403625,543.108826,675.777954,374.970703,2360.441162
10897.2666,4800.238281,6342.436035,3668.508301,718.004578,14374.88086
105.370575,84.689919,2057.605225,1837.087891,2567.471436,8.471722
1455.796875,4819.19873,185.976776,4359.46875,1081.231079,10277.12305
1936.584473,641.826904,366.425415,762.166626,257.623718,2084.549072
437.638916,283.103149,196.059982,1363.752808,759.498718,2241.895508
712.78595,1097.665405,1167.501831,1265.362183,2596.913574,4065.335205
4720.769043,7760.211426,1582.51123,9658.438477,3048.260254,18016.14453
3496.688721,3298.047852,828.648254,2812.164062,3000.692139,13952.59668
2897.276123,708.953308,251.756409,1760.094482,1039.323364,3546.968994
48.328918,739.637085,1326.197144,750.675354,182.475922,223.210876
310.772369,614.073792,1032.537476,1122.707642,561.573608,1080.814209
482.98877,366.443054,1202.385498,1035.059082,1169.381958,1420.919556
2668.26123,2334.452148,142.0215,4236.991211,2002.284668,5444.335449
3409.799316,4866.179688,968.785034,4663.541992,3840.442871,17345.37695
265.120209,57.819389,112.691406,97.113831,135.045029,81.538994
6488.174316,679.739075,659.74939,4656.222168,2124.998291,11044.86035
173.468872,550.085815,894.615845,1610.145508,1213.37207,1135.862061
1471.779297,87.962837,114.13752,501.394562,486.465851,2388.75293
1880.724121,1116.263184,957.473083,1537.249756,1610.992432,5656.191406
