WT1,GFP
734.085266,7754.879883
362.027161,3732.644531
2730.751221,30325.47656
490.915894,109240.1484
899.616577,10772.38379
47.8442,4121.544434
1473.126221,19242.4668
5284.008301,27632.49805
163.41893,11764.96484
4848.133789,34698.93359
296.330475,1298.602539
366.206146,24615.45313
652.055786,35372.38281
3149.913818,21180.07422
174.992111,3782.10498
365.761597,16615.44336
1761.747925,9994.65625
58.646969,3119.468018
161.659576,4216.478027
102.82428,24626.02148
1610.481567,19742.18359
2144.436768,14004.34277
410.685669,2200.68457
881.348022,5586.844727
301.813385,4185.074707
4410.540527,105980.4219
112.657288,1654.905762
1524.591797,27534.10742
6826.542969,92785.375
1468.325317,12413.47559
864.757324,40026.84766
352.780243,2415.668213
700.84729,6647.381836
295.469086,4800.012695
6565.653809,57839.91016
583.805481,28478.41016
1687.876099,36452.0625
1609.07251,17512.0918
529.880127,70842.52344
189.745941,1341.718628
1655.476318,14988.2793
1984.845825,13813.03125
2883.257568,51217.36719
965.699768,21445.19922
1426.738281,9163.699219
421.896881,5657.691895
4084.683105,55199.82031
1151.692749,7270.208008
1786.567261,36833.60547
3540.439453,23616.43359
8315.485352,34351.27344
1396.482422,15779.33496
940.450317,8592.925781
1374.239624,8431.233398
351.842285,15369.1543
839.017639,9685.8125
1442.405029,5005.606445
624.533081,5229.337891
229.085724,1357.527222
2156.023438,14365.27148
363.993561,3491.200684
109.166656,624.949707
1000.409851,25772.78906
2888.491455,17441.07227
1804.090942,31581.95703
2134.57666,14785.27441
9981.147461,117835.7813
1620.146729,7780.509766
1891.098633,8766.124023
5396.40918,34416.10156
1186.878418,8280.003906
639.60968,7247.491211
3256.569092,45646.125
4501.026367,35189.11719
1370.929199,4721.874512
5443.376465,50179.36328
315.903229,4926.827148
3824.039062,67066.30469
2848.459717,16431.72656
4083.205322,63238.56641
617.407532,20738.25391
3251.032715,32182.45703
961.223877,6898.203125
1032.087402,11110.51074
19.225426,34708.96875
737.304382,3971.10498
819.535217,20345.88672
89.414772,1297.35083
3191.230713,42776.26172
1502.313477,9071.741211
9523.291992,43526.52734
1588.79834,12970.62891
2902.348145,10711.0957
545.155029,31041.57617
3713.392578,41009.25391
2277.400879,18773.78125
932.516052,6508.86377
1034.257202,7750.605957
1256.826172,9990.408203
2864.145264,18600.61523
411.667908,5269.985352
2335.53418,12804.28125
1210.485474,21058.35938
236.770615,4036.949707
2151.391846,19560.35352
2952.688965,11396.05469
185.779099,2388.858887
623.051758,12597.83691
425.552582,9504.452148
1493.740845,11010.29688
3055.871094,28035.46094
3060.784912,13469.39844
3197.729736,27742.67383
2463.15625,17239.80859
2074.51123,25109.80469
981.513489,85288.47656
680.678223,34322.69531
230.159851,2995.808594
84.307617,230.166382
3899.303955,29391.26758
2337.817383,12723.35254
2867.352783,24885.55859
863.768372,15689.82031
270.775665,6688.104004
926.185852,23052.46875
6679.600098,52856.65625
5770.561523,27095.61328
734.665039,4707.258301
1048.794556,7928.393066
161.213104,2311.315186
4705.069824,23297.08789
3197.44873,24385.74414
2920.293213,26282.08203
192.468353,8867.071289
2553.178223,16322.78516
2852.397705,14626.11523
4605.605957,30904.24219
3951.795898,13516.54785
2795.224609,24935.42773
1689.563599,61177.56641
290.944214,3869.084229
200.623047,13909.65332
5363.738281,130773.6328
5222.714355,22540.5332
1917.030884,9042.405273
1165.794922,11648.875
1534.658081,17901.76563
431.948578,4979.809082
1865.324585,29881.08984
2965.012939,23288.78125
3851.488037,34296.60547
20531.5625,198964.25
1431.312378,11177.64648
1418.701416,5582.959961
202.031433,27372.52148
899.243103,10514.01856
1331.417603,21833.14063
3717.797607,47986.92969
1198.984497,9597.966797
10669.99609,93596.46094
2459.404297,20941.91016
5304.662109,11950.06445
714.957703,7927.129395
279.177429,2820.16748
4245.513672,78109.67188
172.567322,13566.76172
1294.952271,22763.41797
1687.507202,9256.266602
791.147278,16272.41602
208.871689,6566.456055
392.099304,2553.158691
820.082092,4910.824707
741.269409,4062.768555
3857.976318,32574.87109
6504.314453,36897.55078
98.393753,8957.902344
4896.150391,27098.77539
1228.328247,13934.10449
3733.088135,40016.54297
1105.859985,36456.78516
436.295807,9206.355469
1573.194092,10498.52637
762.625366,6723.084473
108.060669,460.398926
2540.055664,26643.19141
373.165131,3889.471191
2094.637695,8424.138672
2372.022949,11635.29492
451.726685,5689.464844
663.721985,5971.712402
1127.556885,18873.61133
2472.557129,24209.52539
964.11853,11533.70898
6676.583984,72720.82813
1906.294922,20508.03516
652.683838,9325.945312
70.615417,29.801758
277.741638,9656.791016
3627.271729,29427.72266
114.032936,661.515137
363.843628,3260.710449
1155.205444,8384.038086
12268.02344,35500
472.020844,2029.966797
5075.544922,33718.71484
2859.570312,64495.22266
2578.886963,21394.72266
209.913239,1767.478271
483.413177,3050.370117
8032.205078,24018.13477
6722.504883,75217.99219
153.751648,7946.860352
7691.534668,62225.83203
1707.104248,33536.01953
133.211884,2189.613281
637.479431,3889.02002
2091.766846,15183.82617
94.282166,1128.422119
3156.63501,14436.87695
728.81488,23795.57617
2942.483154,12823.1582
592.92334,17241.30273
179.650391,5232.195312
676.260681,129161.5313
5334.474121,46462.03516
851.312805,4794.205078
961.937683,5439.758301
827.887451,13822.85645
1418.462769,5162.012695
234.023209,30175.60547
887.622314,10028.23047
699.847473,13162.60352
706.670715,6219.658203
206.371017,12538.54004
609.423218,25005.93555
114.14315,201.467346
211.954071,10545.35742
141.978775,6715.594727
977.923035,17830.2207
2852.796387,43628.99609
424.622589,5486.534668
6816.199707,69460.34375
259.637604,2322.733643
2818.14624,53573.83594
466.164154,6795.974609
670.388672,6261.286621
624.126648,16074.12598
5740.933594,25218.8125
5034.790039,32289.91016
3104.697021,32607.98828
216.997101,977.398926
720.004944,9324.710938
494.63504,4871.246094
6468.147949,40836.26953
1060.812012,13796.53125
2075.980713,18031.24023
603.758911,12073.95703
2747.307373,25501.81445
1484.330688,7796.003906
2142.578369,17741.33008
1357.529175,9565.035156
1358.054199,13224.39941
264.901062,2215.606934
8250.863281,49793.125
258.890106,1421.175293
317.794647,17887.0332
3664.716064,19737.64063
7439.228027,11933.74121
1382.181152,13489.59277
286.583801,8011.855469
261.992584,5314.831055
10368.30078,36345.99219
352.491699,24493.40039
237.584305,2125.119385
13189.19629,64699.84375
2973.338867,22251.95703
450.468903,3550.445801
1543.75293,48458.875
5035.974609,58776.82422
1599.335449,10241.83594
1933.965942,27255.00586
655.590515,16735.37891
654.754822,9410.941406
312.388306,48755.88672
1262.211914,9394.492188
2085.935547,19801.73242
1369.660889,9799.780273
2667.54248,38794.01172
492.21759,6916.686523
701.107483,12851.75879
327.149994,34673.38672
734.05603,6192.030273
4046.661865,22904.11719
717.339417,4550.458984
343.856537,2946.262207
180.669342,5487.010254
213.979172,2970.59082
6382.92627,24174.96094
663.409302,4766.527344
7226.637695,45561.63672
2981.489746,33746.17578
341.712982,6374.727539
1249.226807,11669.46875
436.606079,6037.080566
2950.608154,56996.46875
161.245285,1980.698242
1051.136719,36483.73047
1262.845093,15104.82324
1465.053345,12591.07422
334.800171,14967.21484
1149.265259,9454.394531
2241.366455,15375.43945
268.192139,1788.717285
1041.819946,33699.99219
3699.286865,39891.76172
3499.6604,30492.1582
1540.642212,65649.30469
460.900879,10543.35059
2872.953125,20958.11523
207.224106,1461.729736
523.654114,5847.830078
555.930603,11196.35938
1667.005371,16268.34082
1698.550293,17149.19531
2014.000366,17791.55078
6093.482422,77443.60156
937.403809,6562.014648
171.099121,323.541626
6237.344238,47323.76563
6606.925781,31035.49414
3856.045654,21692.68164
7667.429688,141845.0781
2392.830811,26743.63477
1187.035278,16113.17285
202.483673,6243.988281
1429.284424,5968.592285
5338.704102,84196.60156
2424.137207,28079.34766
853.745789,12489.61816
2543.728027,17795.35156
400.879578,5929.087891
244.373596,3858.269043
162.709686,25839.70898
78.049599,972.759644
467.249023,21316.98242
311.947266,1745.793701
2930.281006,20275.13867
4194.789062,34115.88281
587.514954,4474.244141
570.222839,5120.44043
2981.694092,33501.05859
806.714233,6401.344238
878.021729,13755.54492
370.581024,554.777832
3666.168213,74536.84375
169.115784,615.294189
930.269409,29667.82422
263.786865,5165.164062
721.903198,15812.67188
1978.910278,25911.96094
702.437317,26723.74023
1318.026245,21916.73438
1188.031616,7419.030273
175.646484,6045.780273
292.591766,797.258545
1859.034424,9562.744141
6612.112305,98463.92969
2819.664062,15039.88184
1464.728394,15705.0625
3234.818604,36907.17578
2063.430664,21839.73047
155.6548,34509.82031
1713.804321,37831.32422
1003.403564,23246.36328
558.168945,3497.921875
219.912003,7484.609375
105.339409,291.039062
176.816177,16497.30078
12635.09766,88914.71875
1707.525024,9178.207031
248.481201,4826.876953
827.890747,13704.89648
623.616821,4792.177734
2189.513184,26521.79883
1217.148193,8440.268555
1448.756836,164990.6563
1084.728516,11550.9043
407.044464,5323.297852
152.894653,14305.16016
3.860275,31710.2168
1506.765503,16087.16211
636.790466,11738.73828
280.32608,1774.558716
566.21283,9947.455078
479.724487,4831.140625
837.492432,49411.45703
3027.72998,5093.618164
7035.833008,72630.60938
309.512695,16042.46875
2392.188965,18438.90039
6775.095215,105374.7969
1057.013428,23327.66992
481.649139,3777.817871
259.540283,21209.77734
343.900299,3657.786377
3016.436768,31418.33008
946.723083,27741.43359
370.25589,43219.73047
510.998108,4350.376465
207.725845,940.633179
201.893723,8231.449219
471.730865,2955.044434
1638.848633,13401.24512
1055.448486,21868.9082
1313.605591,6267.744629
2156.718506,17611.22852
3015.258057,33154.37891
1050.541138,10827.93945
279.602783,3593.860352
386.908905,2523.080322
583.663818,2955.854004
626.253723,5114.855469
3419.846436,189577.8281
87.456161,2117.305176
570.364441,11374.82617
3833.577881,71437.94531
2242.027588,70689.52344
2394.944824,23185.67773
2110.145752,22539.32227
270.73349,4798.038086
5440.321777,43225.80469
3529.924316,26374.92773
525.950684,27848.07227
556.284668,12744.07617
323.7789,2941.603516
1360.281006,17331.41016
544.161499,2864.425293
1069.040527,4204.03125
858.442078,11561.02246
267.807892,24322.93555
137.275482,527.234131
433.275909,16330.41504
740.979431,7219.632324
1394.258057,20548.63867
3987.12915,109356.0234
1866.457642,25071.46094
1494.459351,11962.76172
797.948486,11084.09473
1920.968384,13664.89844
5620.338867,26776.36328
7724.982422,39441.33984
87.088661,199.627197
443.716125,1630.161255
702.236633,3430.689209
786.044861,9319.042969
811.478394,18432.91797
833.185791,7117.755371
4065.337402,45863.88281
335.021057,47440.64063
2996.160156,47146.37109
2422.561279,20364.59766
383.868896,4926.469727
143.611893,35013.72266
846.04541,6534.160645
5041.245117,27008.94141
9033.663086,69567.5
165.031998,7143.990723
745.638123,11665.94922
482.100494,34327.86719
174.093582,465.79834
771.903625,17109.25391
6095.902832,104887.7813
647.221313,4037.397949
958.223267,14011.21973
1479.289795,26462.75195
5516.322266,46161.10156
70.957619,604.203613
1264.618408,42378.75781
2185.538818,12730.61719
122.820374,8300.477539
726.042786,4942.987305
4440.719238,23962.74805
205.399246,4465.443848
1138.386597,14327.51074
447.108948,5417.634766
3226.825684,19124.17578
1364.494751,16825.76953
281.660675,1761.916748
3157.885254,70751.375
3643.678955,40681.9375
1225.237183,18505.89648
1755.181396,16585.94531
236.554779,38941.08594
1348.028076,10547.47461
